id,Name,Typ,HP,Damage,Defense,Speed,CriticalChance,INIT,Fangrate,LevelDamage,LevelDefense,LevelSpeed
1,Banaveal,Flamme,30,5,4,3,0.02,0.1,0,1.1,1.2,1.05
2,,,,,,,,,,,,
3,,,,,,,,,,,,
4,Solafol,Solar,20,5,6,6,0.02,0.15,0,1.05,1.1,1.2
5,Furbold,Schatten,15,7,4,4,0.03,0.17,0.7,1.05,1.21,1.1
6,,,,,,,,,,,,
7,,,,,,,,,,,,
8,,,,,,,,,,,,
9,,,,,,,,,,,,
10,,,,,,,,,,,,
11,,,,,,,,,,,,
12,,,,,,,,,,,,
13,,,,,,,,,,,,
14,,,,,,,,,,,,
15,,,,,,,,,,,,
16,,,,,,,,,,,,
17,,,,,,,,,,,,
18,,,,,,,,,,,,
19,,,,,,,,,,,,
20,,,,,,,,,,,,
21,,,,,,,,,,,,
22,,,,,,,,,,,,
23,,,,,,,,,,,,
24,,,,,,,,,,,,
25,,,,,,,,,,,,
26,,,,,,,,,,,,
27,,,,,,,,,,,,
28,,,,,,,,,,,,
29,,,,,,,,,,,,
